year,league_type,league_name,area_name,area_url,leaguefind_url
2026,3,Adult 55+,Albermarle,https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Albermarle,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Albermarle&gender=M
2026,3,Adult 55+,Capital Area (Ral),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Capital Area (Ral),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,Central Carolina (Cary),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Central Carolina (Cary),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Central+Carolina+%28Cary%29&gender=M
2026,3,Adult 55+,Coastal Plains,https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Coastal Plains,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Coastal+Plains&gender=M
2026,3,Adult 55+,Eno River (Dur),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Eno River (Dur),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Eno+River+%28Dur%29&gender=M
2026,3,Adult 55+,Foothills (Hky),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Foothills (Hky),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Foothills+%28Hky%29&gender=M
2026,3,Adult 55+,Lake Norman,https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Lake Norman,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M
2026,3,Adult 55+,Metro (Chl),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Metro (Chl),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M
2026,3,Adult 55+,Neuse River,https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Neuse River,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Neuse+River&gender=M
2026,3,Adult 55+,Piedmont (GSO/HP),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Piedmont (GSO/HP),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M
2026,3,Adult 55+,Sandhills (Pine),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Sandhills (Pine),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Sandhills+%28Pine%29&gender=M
2026,3,Adult 55+,South East (Wilm),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=South East (Wilm),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=South+East+%28Wilm%29&gender=M
2026,3,Adult 55+,Western NC (Mtn),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Western NC (Mtn),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Western+NC+%28Mtn%29&gender=M
2026,3,Adult 55+,Yadkin Valley (W-S),https://www.tennisrecord.com/adult/league/leaguegender.aspx?year=2026&lt=3&sectionname=Southern&districtname=North Carolina&areaname=Yadkin Valley (W-S),https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Yadkin+Valley+%28W-S%29&gender=M
