year,league_type,league_name,gender,gender_label,level,area_name,league_row_name,flight,sub_flight,expected_teams,league_url,leaguefind_url,raw_row_text
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),2026 Capital Adult 55 & Over,Adult 55 & Over 3.5 Men,,11,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M,2026 Capital Adult 55 & Over | 3.5 Men | -------- | 11
2026,3,Adult 55+,M,Men,3.5,Central Carolina (Cary),2026 CTRL Adult 55 & Over,Adult 55 & Over 3.5 Men,,5,https://www.tennisrecord.com/adult/league.aspx?flightname=Adult 55 %26 Over 3.5 Men&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Central+Carolina+%28Cary%29&gender=M,2026 CTRL Adult 55 & Over | Adult 55 & Over 3.5 Men | -------- | 5
2026,3,Adult 55+,M,Men,3.5,Coastal Plains,2026 COASTAL PLAINS Adult 55 & OVER,Adult 55 & Over 3.5 Men,,4,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5 MEN 55 %26 over&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Coastal+Plains&gender=M,2026 COASTAL PLAINS Adult 55 & OVER | 3.5 MEN 55 & over | -------- | 4
2026,3,Adult 55+,M,Men,3.5,Eno River (Dur),2026 Eno River Adult 55 & Over,Adult 55 & Over 3.5 Men,,6,https://www.tennisrecord.com/adult/league.aspx?flightname=55 Over Adult 3.5 Men Evening&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Eno+River+%28Dur%29&gender=M,2026 Eno River Adult 55 & Over | 55 Over Adult 3.5 Men Evening | -------- | 6
2026,3,Adult 55+,M,Men,3.5,Foothills (Hky),2026 Foothills Spring 55 & Over League,Adult 55 & Over 3.5 Men,,2,https://www.tennisrecord.com/adult/league.aspx?flightname=Men 3.5&year=2026&s=38,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Foothills+%28Hky%29&gender=M,2026 Foothills Spring 55 & Over League | Men 3.5 | -------- | 2
2026,3,Adult 55+,M,Men,3.5,Lake Norman,2026 Lake USTA 55 & Over League,Adult 55 & Over 3.5 Men,,7,https://www.tennisrecord.com/adult/league.aspx?subflightname=M 3.5 Wed PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Lake+Norman&gender=M,2026 Lake USTA 55 & Over League | Men 3.5 | M 3.5 Wed PM | 7
2026,3,Adult 55+,M,Men,3.5,Metro (Chl),2026 Adult 55 & Over League,Adult 55 & Over 3.5 Men,,11,https://www.tennisrecord.com/adult/league.aspx?flightname=55 %26 Over Adult 3.5 Men - Tues PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Metro+%28Chl%29&gender=M,2026 Adult 55 & Over League | 55 & Over Adult 3.5 Men - Tues PM | -------- | 11
2026,3,Adult 55+,M,Men,3.5,Piedmont (GSO/HP),2026 Piedmont USTA 55 & Over,Adult 55 & Over 3.5 Men,,8,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5 55 %26 Over Mon PM&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Piedmont+%28GSO%2FHP%29&gender=M,2026 Piedmont USTA 55 & Over | MEN 3.5 55 & Over Mon PM | -------- | 8
2026,3,Adult 55+,M,Men,3.5,South East (Wilm),2026 SOUTH EAST TENNIS ADULT 55 & OVER,Adult 55 & Over 3.5 Men,,8,https://www.tennisrecord.com/adult/league.aspx?flightname=MEN 3.5&year=2026&s=48,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=South+East+%28Wilm%29&gender=M,2026 SOUTH EAST TENNIS ADULT 55 & OVER | MEN 3.5 | -------- | 8
2026,3,Adult 55+,M,Men,3.5,Western NC (Mtn),Adult 55 & Over USTA WNC 2026,Adult 55 & Over 3.5 Men,,5,https://www.tennisrecord.com/adult/league.aspx?flightname=55%2b Adult Men 3.5 Sun&year=2026,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Western+NC+%28Mtn%29&gender=M,Adult 55 & Over USTA WNC 2026 | 55+ Adult Men 3.5 Sun | -------- | 5
