year,league_type,league_name,gender,gender_label,level,area_name,flight,team_name,players_count_reported,top_six_reported,team_rating_reported,court_rating_reported,team_url,league_url,leaguefind_url
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Br.Elder55A,15,3.39,3.24,3.23,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Br.Elder55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Ch.Bricker55A,14,3.32,3.17,3.18,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Ch.Bricker55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Da.Huffman55A,15,3.46,3.32,3.32,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Da.Huffman55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Da.Swann55A,15,3.49,3.34,3.34,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Da.Swann55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Gr.Knowles55A,12,3.4,3.26,3.27,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Gr.Knowles55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Je.Miller55A,11,3.31,3.13,3.15,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Je.Miller55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Jo.Cockerham55A,8,3.31,3.24,3.27,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Jo.Cockerham55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Jo.Parham55A,13,3.45,3.33,3.36,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Jo.Parham55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,Ro.Boyle55A,14,3.36,3.27,3.27,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=Ro.Boyle55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
2026,3,Adult 55+,M,Men,3.5,Capital Area (Ral),Adult 55 & Over 3.5 Men,To.Blevins55A,14,3.37,3.27,3.29,https://www.tennisrecord.com/adult/teamprofile.aspx?teamname=To.Blevins55A&year=2026,https://www.tennisrecord.com/adult/league.aspx?flightname=3.5  Men&year=2026&s=4,https://www.tennisrecord.com/adult/league/leaguefind.aspx?year=2026&lt=3&sectionname=Southern&districtname=North+Carolina&areaname=Capital+Area+%28Ral%29&gender=M
